symbol,name,sector,industry,country
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,USA
AAPL,Apple Inc. Common Stock,Technology,Consumer Electronics,USA
GOOGL,Alphabet Inc. Class A Common Stock,Communication Services,Internet Content & Information,USA
GOOG,Alphabet Inc. Class C Capital Stock,Communication Services,Internet Content & Information,USA
MSFT,Microsoft Corporation Common Stock,Technology,Software - Infrastructure,USA
AMZN,"Amazon.com, Inc. Common Stock",Consumer Cyclical,Internet Retail,USA
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,Taiwan
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,USA
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Internet Content & Information,USA
TSLA,"Tesla, Inc. Common Stock",Consumer Cyclical,Auto Manufacturers,USA
MU,"Micron Technology, Inc. Common Stock",Technology,Semiconductors,USA
LLY,Eli Lilly and Company Common Stock,Healthcare,Drug Manufacturers - General,USA
WMT,Walmart Inc. Common Stock,Consumer Defensive,Discount Stores,USA
AMD,"Advanced Micro Devices, Inc. Common Stock",Technology,Semiconductors,USA
JPM,JP Morgan Chase & Co. Common Stock,Financial,Banks - Diversified,USA
ORCL,Oracle Corporation Common Stock,Technology,Software - Infrastructure,USA
ASML,ASML Holding N.V. New York Registry Shares,Technology,Semiconductor Equipment & Materials,Netherlands
XOM,Exxon Mobil Corporation Common Stock,Energy,Oil & Gas Integrated,USA
V,Visa Inc.,Financial,Credit Services,USA
AZN,AstraZeneca PLC Ordinary Shares,Healthcare,Drug Manufacturers - General,United Kingdom
INTC,Intel Corporation Common Stock,Technology,Semiconductors,USA
JNJ,Johnson & Johnson Common Stock,Healthcare,Drug Manufacturers - General,USA
CSCO,"Cisco Systems, Inc. Common Stock (DE)",Technology,Communication Equipment,USA
CAT,"Caterpillar, Inc. Common Stock",Industrials,Farm & Heavy Construction Machinery,USA
COST,Costco Wholesale Corporation Common Stock,Consumer Defensive,Discount Stores,USA
MA,Mastercard Incorporated Common Stock,Financial,Credit Services,USA
LRCX,Lam Research Corporation Common Stock,Technology,Semiconductor Equipment & Materials,USA
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,United Kingdom
AMAT,"Applied Materials, Inc. Common Stock",Technology,Semiconductor Equipment & Materials,USA
ABBV,AbbVie Inc. Common Stock,Healthcare,Drug Manufacturers - General,USA
BAC,Bank of America Corporation Common Stock,Financial,Banks - Diversified,USA
CVX,Chevron Corporation Common Stock,Energy,Oil & Gas Integrated,USA
UNH,UnitedHealth Group Incorporated Common Stock (DE),Healthcare,Healthcare Plans,USA
MS,Morgan Stanley Common Stock,Financial,Capital Markets,USA
NFLX,"Netflix, Inc. Common Stock",Communication Services,Entertainment,USA
GE,GE Aerospace Common Stock,Industrials,Aerospace & Defense,USA
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Software - Infrastructure,USA
KO,Coca-Cola Company (The) Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,USA
PG,Procter & Gamble Company (The) Common Stock,Consumer Defensive,Household & Personal Products,USA
GS,"Goldman Sachs Group, Inc. (The) Common Stock",Financial,Capital Markets,USA
HSBC,"HSBC Holdings, plc. Common Stock",Financial,Banks - Diversified,United Kingdom
HD,"Home Depot, Inc. (The) Common Stock",Consumer Cyclical,Home Improvement Retail,USA
MRK,"Merck & Company, Inc. Common Stock (new)",Healthcare,Drug Manufacturers - General,USA
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Cyclical,Internet Retail,China
IBM,International Business Machines Corporation Common Stock,Technology,Information Technology Services,USA
NVS,Novartis AG Common Stock,Healthcare,Drug Manufacturers - General,Switzerland
KLAC,KLA Corporation Common Stock,Technology,Semiconductor Equipment & Materials,USA
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,USA
MRVL,"Marvell Technology, Inc. Common Stock",Technology,Semiconductors,USA
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Hardware,USA
PM,Philip Morris International Inc Common Stock,Consumer Defensive,Tobacco,USA
RY,Royal Bank Of Canada Common Stock,Financial,Banks - Diversified,Canada
SNDK,Sandisk Corporation Common Stock,Technology,Computer Hardware,USA
GEV,GE Vernova Inc. Common Stock,Industrials,Specialty Industrial Machinery,USA
QCOM,QUALCOMM Incorporated Common Stock,Technology,Semiconductors,USA
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,Energy,Oil & Gas Integrated,United Kingdom
WFC,Wells Fargo & Company Common Stock,Financial,Banks - Diversified,USA
RTX,RTX Corporation Common Stock,Industrials,Aerospace & Defense,USA
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",Financial,Banks - Diversified,Japan
LIN,Linde plc Ordinary Shares,Basic Materials,Specialty Chemicals,United Kingdom
TM,Toyota Motor Corporation Common Stock,Consumer Cyclical,Auto Manufacturers,Japan
CCZ,Comcast Holdings ZONES,,,USA
C,"Citigroup, Inc. Common Stock",Financial,Banks - Diversified,USA
SAP,SAP  SE ADS,Technology,Software - Application,Germany
PANW,"Palo Alto Networks, Inc. Common Stock",Technology,Software - Infrastructure,USA
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Basic Materials,Other Industrial Metals & Mining,Australia
